   % 1. Title: Dataset template
   % 
   % 2. Sources:
   %      (a) Creator: T.F. Euler
   %      (b) Donor: None
   %      (c) Date: Oct, 2022
   % 
@RELATION Sensored_glove

@ATTRIBUTE Acc_X_1_0		REAL
@ATTRIBUTE Acc_Y_1_0		REAL
@ATTRIBUTE Acc_Z_1_0		REAL
@ATTRIBUTE Gyr_X_1_0		REAL
@ATTRIBUTE Gyr_Y_1_0		REAL
@ATTRIBUTE Gyr_Z_1_0		REAL
@ATTRIBUTE Acc_X_2_0		REAL
@ATTRIBUTE Acc_Y_2_0		REAL
@ATTRIBUTE Acc_Z_2_0		REAL
@ATTRIBUTE Gyr_X_2_0		REAL
@ATTRIBUTE Gyr_Y_2_0		REAL
@ATTRIBUTE Gyr_Z_2_0		REAL
@ATTRIBUTE Angle_R_1_0		REAL
@ATTRIBUTE Angle_P_1_0		REAL
@ATTRIBUTE Angle_Y_1_0		REAL
@ATTRIBUTE Angle_R_2_0		REAL
@ATTRIBUTE Angle_P_2_0		REAL
@ATTRIBUTE Angle_Y_2_0		REAL
@ATTRIBUTE Pressure_0		REAL
@ATTRIBUTE Position_0		REAL

@ATTRIBUTE Acc_X_1_1		REAL
@ATTRIBUTE Acc_Y_1_1		REAL
@ATTRIBUTE Acc_Z_1_1		REAL
@ATTRIBUTE Gyr_X_1_1		REAL
@ATTRIBUTE Gyr_Y_1_1		REAL
@ATTRIBUTE Gyr_Z_1_1		REAL
@ATTRIBUTE Acc_X_2_1		REAL
@ATTRIBUTE Acc_Y_2_1		REAL
@ATTRIBUTE Acc_Z_2_1		REAL
@ATTRIBUTE Gyr_X_2_1		REAL
@ATTRIBUTE Gyr_Y_2_1		REAL
@ATTRIBUTE Gyr_Z_2_1		REAL
@ATTRIBUTE Angle_R_1_1		REAL
@ATTRIBUTE Angle_P_1_1		REAL
@ATTRIBUTE Angle_Y_1_1		REAL
@ATTRIBUTE Angle_R_2_1		REAL
@ATTRIBUTE Angle_P_2_1		REAL
@ATTRIBUTE Angle_Y_2_1		REAL
@ATTRIBUTE Pressure_1		REAL
@ATTRIBUTE Position_1		REAL

@ATTRIBUTE Acc_X_1_2		REAL
@ATTRIBUTE Acc_Y_1_2		REAL
@ATTRIBUTE Acc_Z_1_2		REAL
@ATTRIBUTE Gyr_X_1_2		REAL
@ATTRIBUTE Gyr_Y_1_2		REAL
@ATTRIBUTE Gyr_Z_1_2		REAL
@ATTRIBUTE Acc_X_2_2		REAL
@ATTRIBUTE Acc_Y_2_2		REAL
@ATTRIBUTE Acc_Z_2_2		REAL
@ATTRIBUTE Gyr_X_2_2		REAL
@ATTRIBUTE Gyr_Y_2_2		REAL
@ATTRIBUTE Gyr_Z_2_2		REAL
@ATTRIBUTE Angle_R_1_2		REAL
@ATTRIBUTE Angle_P_1_2		REAL
@ATTRIBUTE Angle_Y_1_2		REAL
@ATTRIBUTE Angle_R_2_2		REAL
@ATTRIBUTE Angle_P_2_2		REAL
@ATTRIBUTE Angle_Y_2_2		REAL
@ATTRIBUTE Pressure_2		REAL
@ATTRIBUTE Position_2		REAL

@ATTRIBUTE Acc_X_1_3		REAL
@ATTRIBUTE Acc_Y_1_3		REAL
@ATTRIBUTE Acc_Z_1_3		REAL
@ATTRIBUTE Gyr_X_1_3		REAL
@ATTRIBUTE Gyr_Y_1_3		REAL
@ATTRIBUTE Gyr_Z_1_3		REAL
@ATTRIBUTE Acc_X_2_3		REAL
@ATTRIBUTE Acc_Y_2_3		REAL
@ATTRIBUTE Acc_Z_2_3		REAL
@ATTRIBUTE Gyr_X_2_3		REAL
@ATTRIBUTE Gyr_Y_2_3		REAL
@ATTRIBUTE Gyr_Z_2_3		REAL
@ATTRIBUTE Angle_R_1_3		REAL
@ATTRIBUTE Angle_P_1_3		REAL
@ATTRIBUTE Angle_Y_1_3		REAL
@ATTRIBUTE Angle_R_2_3		REAL
@ATTRIBUTE Angle_P_2_3		REAL
@ATTRIBUTE Angle_Y_2_3		REAL
@ATTRIBUTE Pressure_3		REAL
@ATTRIBUTE Position_3		REAL

@ATTRIBUTE Acc_X_1_4		REAL
@ATTRIBUTE Acc_Y_1_4		REAL
@ATTRIBUTE Acc_Z_1_4		REAL
@ATTRIBUTE Gyr_X_1_4		REAL
@ATTRIBUTE Gyr_Y_1_4		REAL
@ATTRIBUTE Gyr_Z_1_4		REAL
@ATTRIBUTE Acc_X_2_4		REAL
@ATTRIBUTE Acc_Y_2_4		REAL
@ATTRIBUTE Acc_Z_2_4		REAL
@ATTRIBUTE Gyr_X_2_4		REAL
@ATTRIBUTE Gyr_Y_2_4		REAL
@ATTRIBUTE Gyr_Z_2_4		REAL
@ATTRIBUTE Angle_R_1_4		REAL
@ATTRIBUTE Angle_P_1_4		REAL
@ATTRIBUTE Angle_Y_1_4		REAL
@ATTRIBUTE Angle_R_2_4		REAL
@ATTRIBUTE Angle_P_2_4		REAL
@ATTRIBUTE Angle_Y_2_4		REAL
@ATTRIBUTE Pressure_4		REAL
@ATTRIBUTE Position_4		REAL

@ATTRIBUTE Closed_hand		REAL

@ATTRIBUTE class   {Laranja, Cubo_magico, Cartao, Violao, Controle_videogame, Smartphone, Garrafa, Caneta, Mouse, Espremer_laranja, Manipular_cubo_magico, Manipular_cartao, Violao_Do, Violao_Re, Violao_Mi, Usar_Smartphone, Manipular_controle, Encher_garrafa, Assinatura, Cliques_mouse}

@DATA

-0.01, 0.94, -0.04, 0.19, -2.44, 0.18, 0.13, 0.96, -0.08, 1.00, -1.32, -0.14, 92.56, -0.76, 7.64, 94.68, 7.83, -4.95, 0.13, 25.55, 0.14, 0.98, 0.11, 1.60, -1.64, 0.06, -0.05, 0.89, 0.42, 1.81, -0.93, 0.14, 83.60, 7.86, -5.10, 64.59, -2.81, 4.61, 0.13, 75.00, -0.09, 0.90, 0.08, 1.51, -0.50, 0.84, -0.26, 0.90, 0.41, 1.14, -1.03, 1.03, 84.70, -6.41, 8.39, 65.05, -15.60, 13.40, 0.13, 22.56, -0.30, 0.92, 0.16, 1.22, -0.37, 1.18, 0.06, 1.01, 0.32, 1.58, -0.30, 0.81, 78.84, -18.50, 19.98, 70.76, 2.74, 2.89, 0.13, 14.98, 0.27, 0.89, -0.13, 0.39, 0.62, 1.54, 0.04, 0.94, -0.08, 0.75, 0.82, 1.26, 94.34, 15.14, -17.77, 92.95, 1.09, 2.79, 0.13, 0.18, 1, Laranja
-0.00, 0.94, -0.03, -0.17, -0.11, 1.30, 0.14, 0.96, -0.08, -0.17, -0.49, 1.35, 92.12, -0.38, 7.62, 94.60, 8.32, -4.97, 0.13, 26.37, 0.15, 0.98, 0.12, 0.29, -0.56, 0.16, -0.04, 0.89, 0.43, 0.25, -0.30, 0.08, 83.27, 8.23, -5.08, 64.34, -2.46, 4.59, 0.13, 75.00, -0.10, 0.90, 0.09, 0.38, -0.45, 0.14, -0.27, 0.89, 0.42, 0.44, -0.37, 0.11, 84.29, -6.22, 8.32, 64.87, -15.30, 13.33, 0.13, 21.81, -0.31, 0.92, 0.18, 0.27, 0.43, 0.46, 0.05, 1.00, 0.35, 0.44, 0.35, 0.62, 78.82, -18.39, 19.99, 70.61, 2.66, 2.93, 0.13, 15.15, 0.23, 0.89, -0.11, -0.04, 0.20, 0.13, 0.00, 0.94, -0.05, 0.13, 0.32, 0.18, 94.73, 15.05, -17.86, 93.15, 0.67, 2.80, 0.13, 0.18, 1, Laranja
-0.01, 0.93, -0.03, 5.61, -5.38, 0.63, 0.13, 0.95, -0.07, 6.30, -4.41, 1.61, 92.13, -0.83, 7.35, 94.75, 7.85, -5.17, 0.13, 26.37, 0.13, 0.98, 0.12, 5.91, -4.71, 2.35, -0.07, 0.89, 0.41, 6.46, -4.21, 2.62, 83.37, 7.89, -5.27, 64.85, -2.76, 4.46, 0.13, 75.00, -0.11, 0.90, 0.07, 4.96, -2.12, 4.81, -0.28, 0.91, 0.38, 2.42, -4.90, 4.42, 84.89, -6.15, 8.28, 65.38, -15.12, 13.31, 0.13, 21.89, -0.31, 0.93, 0.16, 2.68, -2.04, 6.85, 0.06, 1.01, 0.31, 1.82, -3.76, 6.80, 79.36, -18.05, 20.09, 71.10, 3.13, 2.84, 0.13, 14.45, 0.26, 0.89, -0.13, -2.74, -1.65, 6.39, 0.03, 0.93, -0.08, -1.22, -1.80, 6.47, 95.04, 15.45, -18.08, 93.45, 1.21, 2.69, 0.13, 0.18, 1, Laranja
0.00, 0.95, -0.06, 2.74, -5.75, 4.11, 0.15, 0.97, -0.11, 3.83, -4.50, 4.55, 92.63, -0.45, 7.06, 95.35, 8.25, -5.47, 0.13, 27.09, 0.18, 0.98, 0.11, 2.07, -5.62, 3.38, -0.00, 0.90, 0.44, 2.65, -6.50, 2.70, 83.56, 8.65, -5.53, 64.79, -1.99, 4.22, 0.13, 75.00, -0.06, 0.91, 0.09, 3.41, -6.42, 4.32, -0.22, 0.90, 0.43, 2.33, -5.68, 2.70, 84.96, -5.35, 7.97, 65.24, -14.40, 13.04, 0.13, 0.00, -0.27, 0.93, 0.19, 1.83, -3.92, 3.74, 0.11, 1.01, 0.36, 2.60, -4.12, 2.71, 79.15, -17.38, 19.84, 71.08, 3.86, 2.70, 0.13, 14.38, 0.28, 0.90, -0.09, -0.58, -2.37, 4.30, 0.07, 0.94, -0.05, 0.42, -2.87, 4.57, 95.25, 16.13, -18.28, 93.33, 1.97, 2.53, 0.13, 0.18, 1, Laranja
0.00, 0.93, -0.06, 2.88, -0.77, -3.00, 0.14, 0.96, -0.12, 3.88, 0.18, -2.93, 93.13, -0.44, 7.03, 95.94, 8.17, -5.50, 0.13, 26.67, 0.17, 0.97, 0.11, 3.55, -0.23, -2.12, -0.01, 0.89, 0.43, 5.19, 1.32, -1.65, 83.72, 9.12, -5.55, 64.92, -1.55, 4.24, 0.13, 75.00, -0.08, 0.90, 0.08, 4.90, 1.22, -1.16, -0.25, 0.89, 0.42, 5.46, 0.08, 0.48, 84.80, -5.03, 7.99, 65.07, -14.27, 12.95, 0.13, 21.70, -0.29, 0.92, 0.18, 3.93, 2.72, 0.50, 0.07, 0.99, 0.35, 5.62, 1.40, 0.44, 79.06, -17.39, 19.89, 70.90, 3.85, 2.80, 0.13, 14.56, 0.26, 0.89, -0.11, 4.07, 1.97, 2.45, 0.04, 0.93, -0.06, 4.86, 1.42, 1.54, 95.82, 16.23, -18.30, 93.86, 2.13, 2.59, 0.13, 0.18, 1, Laranja
-0.04, 0.94, -0.09, 2.48, -0.83, -0.94, 0.10, 0.95, -0.15, 3.22, -0.37, -0.64, 93.56, -0.84, 7.00, 96.47, 7.88, -5.56, 0.13, 26.47, 0.13, 0.97, 0.10, 2.71, -1.44, -0.75, -0.05, 0.89, 0.42, 3.56, -0.71, -0.59, 84.04, 8.58, -5.66, 65.03, -2.12, 4.19, 0.13, 75.00, -0.11, 0.90, 0.09, 5.08, -2.96, 0.50, -0.28, 0.89, 0.44, 4.56, -2.54, 0.81, 84.89, -5.53, 7.83, 64.94, -14.59, 12.77, 0.13, 21.92, -0.31, 0.92, 0.19, 3.09, -0.97, 1.88, 0.05, 1.00, 0.37, 4.72, -2.23, 1.31, 78.93, -17.75, 19.77, 70.78, 3.63, 2.74, 0.13, 14.52, 0.25, 0.90, -0.11, 2.13, -1.18, 4.39, 0.02, 0.94, -0.05, 4.06, -1.76, 3.61, 96.26, 16.12, -18.48, 93.75, 1.88, 2.50, 0.13, 0.18, 1, Laranja
-0.06, 0.93, -0.13, 1.57, 0.58, -2.10, 0.09, 0.94, -0.21, 1.44, 0.92, -2.07, 94.01, -1.18, 7.04, 96.93, 7.63, -5.56, 0.13, 26.36, 0.13, 0.98, 0.02, 1.73, 1.24, -1.25, -0.05, 0.93, 0.32, 0.71, 1.65, -1.02, 84.53, 8.40, -5.66, 65.50, -2.24, 4.26, 0.13, 75.00, -0.09, 0.91, 0.03, 0.26, -0.64, -0.89, -0.25, 0.92, 0.37, 0.85, -0.29, -1.35, 85.30, -5.61, 7.83, 65.41, -14.56, 12.83, 0.13, 0.00, -0.29, 0.93, 0.16, 0.23, 0.27, -0.93, 0.07, 1.01, 0.32, 1.12, -0.48, -1.43, 79.33, -17.57, 19.90, 71.24, 3.65, 2.67, 0.13, 14.76, 0.27, 0.90, -0.12, 0.92, -0.87, -0.68, 0.05, 0.95, -0.08, 0.91, -1.21, -0.83, 96.69, 16.26, -18.62, 94.11, 2.14, 2.43, 0.13, 0.18, 1, Laranja
-0.03, 0.93, -0.08, -1.26, 4.30, -1.06, 0.12, 0.95, -0.14, -1.72, 3.23, -1.44, 94.28, -1.46, 7.27, 97.20, 7.41, -5.44, 0.13, 26.56, 0.13, 0.98, 0.09, -2.10, 2.57, -1.82, -0.06, 0.90, 0.40, -3.01, 2.68, -1.87, 84.58, 7.81, -5.57, 65.63, -2.80, 4.36, 0.13, 75.00, -0.10, 0.90, 0.07, -2.32, 1.29, -2.30, -0.28, 0.90, 0.40, -1.73, 1.84, -1.96, 85.44, -6.11, 7.91, 65.55, -15.16, 12.93, 0.13, 22.07, -0.31, 0.92, 0.17, -0.42, -0.73, -2.35, 0.04, 1.00, 0.34, -0.69, 0.57, -2.68, 79.38, -18.19, 19.87, 71.10, 2.96, 2.66, 0.13, 14.69, 0.26, 0.89, -0.12, 0.79, -0.21, -1.38, 0.02, 0.94, -0.08, 0.84, 0.32, -1.89, 97.07, 16.08, -18.72, 94.42, 1.75, 2.45, 0.13, 0.18, 1, Laranja
-0.05, 0.93, -0.08, 0.43, 0.13, -2.35, 0.10, 0.94, -0.14, 0.51, 0.16, -2.48, 94.47, -2.06, 7.29, 97.50, 6.93, -5.45, 0.13, 26.26, 0.12, 0.98, 0.09, 0.93, 0.65, -1.32, -0.06, 0.90, 0.39, 0.36, 1.13, -0.35, 84.82, 7.27, -5.56, 66.05, -3.02, 4.42, 0.13, 75.00, -0.10, 0.89, 0.06, 0.76, 0.14, -0.35, -0.28, 0.89, 0.40, 0.48, 0.55, -0.02, 85.74, -6.39, 7.95, 65.64, -15.69, 12.98, 0.13, 22.01, -0.30, 0.91, 0.17, 1.10, 0.25, 0.08, 0.06, 0.99, 0.34, 1.63, 0.10, 0.38, 79.53, -18.07, 19.91, 71.17, 3.20, 2.67, 0.13, 14.63, 0.26, 0.89, -0.12, 0.98, 0.50, 1.11, 0.04, 0.93, -0.06, 1.70, 0.40, 0.90, 97.44, 16.12, -18.79, 94.07, 2.06, 2.48, 0.13, 0.18, 1, Laranja
